zpid,streetAddress,zipcode,city,state,latitude,longitude,price,dateSold,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,isFeatured,shouldHighlight,zestimate,rentZestimate,isUnmappable,isPreforeclosureAuction,priceForHDP,timeOnZillow,isNonOwnerOccupied,isPremierBuilder,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,isShowcaseListing,listing_sub_type.is_FSBA,homeStatusForHDP,datePriceChanged,priceReduction,priceChange,isRentalWithBasePrice,contingentListingType,listing_sub_type.is_accepting_backup_offers,providerListingID,newConstructionType,listing_sub_type.is_newHome,videoCount,openHouse,listing_sub_type.is_openHouse,open_house_info.open_house_showing,unit,listing_sub_type.is_bankOwned,listing_sub_type.is_forAuction,rentalMarketingSubType
16519582,2008 Gauguin Pl,95618,Davis,CA,38.565582,-121.72669,685000.0,1667372400000,3.0,4.0,1583.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,721900.0,3399,False,False,685000.0,43641261000.0,True,False,False,USD,USA,685000.0,5123.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16542322,1038 Greene Ter,95618,Davis,CA,38.544453,-121.721756,461000.0,1667199600000,3.0,3.0,1384.0,CONDO,RECENTLY_SOLD,-1,False,False,481400.0,2800,False,False,461000.0,43814061000.0,True,False,False,USD,USA,460848.0,880.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16545563,1208 Campanilla Ct,95618,Davis,CA,38.555695,-121.70037,1050000.0,1667199600000,3.0,4.0,2883.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,1106000.0,4191,False,False,1050000.0,43814061000.0,True,False,False,USD,USA,1050000.0,6512.22,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16518448,1701 Baywood Ln,95618,Davis,CA,38.561646,-121.72449,595000.0,1666767600000,2.0,4.0,1617.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,625900.0,3399,False,False,595000.0,44246061000.0,True,False,False,USD,USA,595000.0,5881.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
300244688,43463 Montgomery Ave,95618,Davis,CA,38.535393,-121.70466,5295000.0,1666767600000,,2.0,1564.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,5544700.0,21107,False,False,5295000.0,44246061000.0,True,False,False,USD,USA,5295000.0,20.009986225895318,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16542326,1041 Greene Ter,95618,Davis,CA,38.544453,-121.72128,576000.0,1666335600000,3.0,3.0,1205.0,CONDO,RECENTLY_SOLD,-1,False,False,605200.0,2700,False,False,576000.0,44678061000.0,True,False,False,USD,USA,576000.0,714.384,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
339007105,1136 Los Robles St,95618,Davis,CA,38.542454,-121.7113,780000.0,1665990000000,,,,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,817200.0,2868,False,False,780000.0,45023661000.0,True,False,False,USD,USA,780000.0,0.6899908172635445,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16539879,5050 Glide Dr,95618,Davis,CA,38.551537,-121.68913,1535000.0,1665730800000,9.0,9.0,6661.0,MULTI_FAMILY,RECENTLY_SOLD,-1,False,False,1609800.0,6099,False,False,1535000.0,45282861000.0,True,False,False,USD,USA,1535000.0,0.3600091827364555,acres,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
16545453,1303 Caceres Ct,95618,Davis,CA,38.558167,-121.70146,840000.0,1665730800000,3.0,4.0,1823.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,880900.0,3350,False,False,840000.0,45282861000.0,True,False,False,USD,USA,840000.0,4792.0,sqft,False,,RECENTLY_SOLD,,,,,,,,,,1.0,,,,,,,
16518202,1718 Denison Dr,95618,Davis,CA,38.56212,-121.72963,650000.0,1665558000000,2.0,3.0,1614.0,SINGLE_FAMILY,RECENTLY_SOLD,-1,False,False,681300.0,3284,False,False,650000.0,45455661000.0,True,False,False,USD,USA,650000.0,5937.228,sqft,False,,RECENTLY_SOLD,,,,,,,,,,,,,,,,,
